BookName, Author,Publisher,Code 
金融市场风险管理分析,(美) 弗兰克·H. 科格三世著,格致出版社2022,F830.9/1192
外汇交易和风险管理,张青龙_ 孔刘柳_ 王静华编著,格致出版社2022,F830.92/126
社会化媒体策略.专业人士和组织的工具,(美) 菲利普·G. 克兰皮特著,中国传媒大学出版社2022,G206.2/1035
互联网金融,主编彭媛_ 罗煌_ 谢淑芬,北京理工大学出版社有限责任公司2022,F830.49/348
电子商务纠纷多元解决机制研究,张科著,中国商业出版社2022,DF414.4/667
“学验并重”模式下金融实验教学研究,主编张云,中国财政经济出版社2021,F830/860
咬定长线白马股,孙艺玮_ 江海著,四川人民出版社2022,F830.91/2111
中国农地流转市场转型逻辑,仇童伟著,科学出版社2022,F321.1/722
新时代生态文明建设理论与实践研究,韩亚男著,吉林大学出版社2021,X321.2/401
日本泡沫经济再考,张季风 ... [等] 著,社会科学文献出版社2022,F131.3/74
当代娱乐文化的伦理危机,陈占彪著,上海人民出版社2022,G222.3/188
迈向经济高质量发展.“僵尸企业”治理路径优化研究,盛垒著,上海人民出版社2022,F279.2/745
婴幼儿奶粉安全法规标准及检测方法,郑文杰_ 刘伟主编,科学出版社2022,DF36/120
OKR目标管理.组织绩效增长法,刘思洁_ 王曙光著,中国科学技术出版社2022,F272.5/183
2022政策热点面对面,国务院研究室编写组著,中国言实出版社2022,D643/31
见“证”.股市早年岁月亲历者说,中共上海市委党史研究室_ 上海金融文化促进中心编,上海人民出版社2021,F832.51/881
中国传媒融合创新研究报告.2021-2022,主编黄晓新_ 刘建华_ 卢剑锋,中国书籍出版社2022,G219.2/522
人工智能法治应用,主编杨华,上海人民出版社2021,DF374/175
走私禁限类货物、物品犯罪研究,何萍著,上海人民出版社2022,DF623.4/425
建设法治中国,易赛键著,中国青年出版社2022,DF120/727
对接“一带一路”建设的中国 (上海) 自由贸易试验区金融开放与创新,秦焕梅著,格致出版社2022,F832.751/53
幸福理财.从“韭菜”到行家,魏尚进_ 李清娟_ 年四伍等著,格致出版社2021,F830.59/1654
复利奇迹.巴菲特的财富逻辑,李可著,广东经济出版社2021,F830.59/1655
基于大数据的企业管理创新与风险控制研究,李梅泉著,北京工业大学出版社2021,F273.1/328
商业模式与企业创新设计研究,宋玉霞著,北京工业大学出版社2021,F272.3/626
资本市场的创新逻辑与现实路径.基于广东事实的研究,刘少波_ 叶显_ 曹直著,暨南大学出版社2021,F832.765/23
全域旅游视角下的乡村旅游产业发展研究,高小茹著,北京工业大学出版社2021,F592.3/350
文化创意与城市经济,(美) 艾伦·J. 斯科特著,上海文化出版社2022,G114/173
会通与流变.明清以降中国的知识、文化与信仰,陈才俊著,中国社会科学出版社2022,G04/145
中国红色金融史,中国金融思想政治工作研究会编著,中国财政经济出版社2021,F832.95/53
影响力投资.历程与实践,南南合作金融中心主编,中国财政经济出版社2022,F830.59/1656
开发性金融视角下地方政府投融资平台的可持续发展路径研究,刘金林_ 程凡_ 马静著,中国财政经济出版社2022,F832.7/154
地方政府竞争对中国区域间资本流动的经济效应研究,钟军委著,中国财政经济出版社2022,F832.6/410
大数据背景下信用评级方法及评级体系构建,赵雪艳著,中国财政经济出版社2022,F832.4/222
政府主导型农村数字金融服务模式运行机理、成效及创新研究,彭艳玲等著,西南财经大学出版社2022,F832.35/345
大运河文化带节点城市文化创意产业空间演化研究,曹玉华_ 毛广雄著,东南大学出版社2021,G127/56
冰雪经济融合发展研究,任玉珊 ... [等]著,吉林大学出版社2021,F127.34/9
资金布局.股票交易中的仓位控制,宁俊明著,四川人民出版社2022,F830.91/2112
高校马克思主义传播人才培养论纲,樊伟等著,重庆出版社2022,A811.67/36
成语故事,車明正著,文化发展出版社2021,H136.31/5
来华留学生跨文化适应问题研究,朱婧著,北京工业大学出版社2022,B844.2/271
基于多指标构建综合指数的评价方法及其应用研究,石峻驿_ 陶思年_ 蔺小奕著,北京邮电大学出版社2022,F832.4/223
投资者意见分歧假设下资产定价问题研究,王静著,东北财经大学出版社2021,F832.51/882
我国居民储蓄行为研究.基于行为经济学视角的分析,陈慧著,东北财经大学出版社2021,F832.22/62
习近平的扶贫足迹,本书编写组,新华出版社2022,K827/2506
强国新征程.“十四五”时期的中国经济,张占斌著,浙江教育出版社2021,F124/1025
人民的信仰,张荣臣_ 蒋成会著,东方出版社2023,A81/416
新发展理念下脱贫攻坚长效机制研究,朱道才等著,经济科学出版社2022,F126/164
医疗损害责任制度研究,王旭玲著,法律出版社2022,DF364/781
贫困治理的重点问题研究,王哲著,中国商务出版社2022,F126/165
暗金政治.慈善基金会与美国霸权,银培萩著,上海人民出版社2022,D771.27/43
国内政治与美国的外资政策,吴其胜著,上海人民出版社2022,D771.2/208
知识产权法中的公共利益研究,吴青著,江西高校出版社2021,DF523.04/1325
促进生态文明建设的绿色金融制度体系研究,蓝虹著,中国金融出版社2021,F832/485
刑法分论案例研究,主编苏雄华,中国政法大学出版社2022,DF605/371
生态文明视域下运动休闲小镇的发展,王念龙著,同济大学出版社2021,G812.4/27
刑事疑难案例研究,刘期湘著,法律出版社2022,DF605/372
